Time,Coal,Renewables,Oil,Gas
1973,1726.5,197.5,858.1,226.2
1974,1970.3,204.1,856,246.8
1975,1947.6,206.4,883.3,270.3
1976,2145.8,199.6,910.1,323.1
1977,2200,201.6,938.7,360.4
1978,2229.2,200.2,921.2,398.9
1979,2285.9,194.4,877.3,445.1
1980,2637.3,207,854.4,495.1
1981,2798.2,212,828.3,542.3
1982,2987.8,205.1,816.6,543.3
1983,3143.1,202.5,992.6,573
1984,3572.7,215,1145.4,625.7
1985,3946.8,217.3,1174.1,677.1
1986,4360.1,216.9,1165.6,692.5
1987,4035.4,220.8,1156.9,714.5
1988,4426.2,231.1,1045.4,727.5
1989,4684.7,235.3,1183.8,897.6
1990,4880.1,238.7,1182.3,934.4
1991,5177.4,224.5,1158.4,1027.2
1992,5244.8,246.5,1136,1078.2
1993,5260.8,255.4,1071,1165
1994,5665.2,262.2,1154,1270.5
1995,5746.4,271.9,1119.3,1300.8
1996,6139.1,284.9,1148.8,1326.1
1997,6616.5,283.4,1256.6,1393.1
1998,6662.9,282.7,1032.2,1436.1
1999,7046.1,266.6,1386.2,1432.2
2000,7548.6,266.3,1432.1,1482.3
2001,7951.8,256.9,1335.7,1511.1
2002,8019.2,276.52,1232.83,1562.01
2003,8261.85,279.1,1031.4,1563.92
2004,8792.07,280.21,938.78,1736.08
2005,8885.96,284.52,856.61,1798.66
2006,9360.12,288.29,1031.11,1895.39
2007,9383.53,286.42,957.2,1952.37
2008,9760.8,239.94,1028.06,2041.73
2009,10518.7,282.63,995.1,2157.46
2010,9981.3,294.58,946.55,2360.57
2011,10629.93,293.83,888.51,2242.85
2012,11546.31,333.54,784.93,2546.78
2013,12467.61,344.25,745.16,2624.92
2014,12893.14,347.67,705.26,2739.55
2015,12726.04,360.19,680.62,3425.78
2016,12745.99,379.11,596.9,4069.54
2017,12843.4,382.45,572.16,4638.5
2018,13038.07,400.19,676.87,5610.15
2019,12742.24,418.76,798.54,6098.14
2020,11789.66,464.63,718.4,5876.82
2021,11631.34,512.15,722.96,6317.76
2022,11184.41,553.56,625.84,6346.04