Time,Oil,Refined Petroleum Products,Gas,Coal
1982.00,455.90,101.70,0.00,0.00,
1983.00,331.20,97.20,0.00,0.00,
1984.00,282.40,107.30,0.00,0.00,
1985.00,239.40,105.60,0.00,0.00,
1986.00,299.90,151.40,0.00,0.00,
1987.00,371.70,123.70,0.00,0.00,
1988.00,467.60,152.10,0.00,0.00,
1989.00,451.20,174.40,0.00,0.00,
1990.00,519.10,106.00,0.00,0.00,
1991.00,594.50,82.30,0.00,0.00,
1992.00,754.50,105.80,0.00,0.00,
1993.00,789.50,108.70,0.00,0.00,
1994.00,805.40,119.90,0.00,0.00,
1995.00,927.80,115.90,0.00,0.00,
1996.00,973.40,135.70,0.00,0.00,
1997.00,981.00,90.10,0.00,0.00,
1998.00,1163.30,137.70,0.00,0.00,
1999.00,1055.70,157.30,0.00,0.00,
2000.00,1035.80,154.20,0.00,0.00,
2001.00,1071.90,151.40,0.00,0.00,
2002.00,1090.10,191.80,0.00,3.70,
2003.00,930.60,361.40,0.00,1.40,
2004.00,1022.90,396.90,0.00,3.70,
2005.00,961.10,507.00,48.60,5.70,
2006.00,1001.00,494.50,217.70,4.70,
2007.00,1040.90,635.90,205.60,2.20,
2008.00,967.50,697.20,242.30,1.60,
2009.00,1084.70,706.10,211.60,1.70,
2010.00,1252.50,624.30,221.40,6.40,
2011.00,1168.10,769.70,193.60,3.10,
2012.00,1166.00,863.30,232.70,1.90,
2013.00,1089.90,911.80,233.80,3.70,
2014.00,964.00,1014.70,207.70,6.40,
2015.00,787.50,1192.30,226.40,6.80,
2016.00,813.80,1253.60,206.50,7.60,
2017.00,887.90,1333.60,186.50,12.10,
2018.00,862.10,1326.80,202.00,17.20,
2019.00,715.50,1328.40,179.70,19.20,
2020.00,563.90,1330.00,207.60,12.50,
2021.00,407.10,1554.60,152.10,15.30,
2022.00,382.70,1825.80,48.10,16.70,