Time,Transport,Electricity Supply,Manufacturing,Mining,Residential,Commercial,Other
1982.00,837.00,829.70,852.70,75.10,273.20,104.50,150.50
1983.00,864.10,846.60,887.80,83.20,276.00,105.60,157.80
1984.00,892.10,900.90,934.30,96.90,282.10,109.90,154.60
1985.00,906.30,896.20,939.60,97.90,288.40,116.10,158.00
1986.00,922.10,939.50,966.00,105.00,298.10,122.90,160.80
1987.00,966.00,962.50,988.30,116.70,296.20,129.40,163.90
1988.00,1004.90,1047.60,1041.00,129.30,301.50,136.70,171.80
1989.00,1012.40,1066.00,1067.40,159.90,322.30,145.50,172.30
1990.00,1003.00,1065.00,1073.90,164.60,327.80,151.10,164.50
1991.00,1024.30,1092.90,1033.90,176.20,334.60,154.20,166.60
1992.00,1049.60,1096.40,1066.60,189.30,347.10,158.80,174.00
1993.00,1081.00,1109.60,1109.00,194.60,344.40,162.30,181.00
1994.00,1139.30,1162.60,1132.40,213.10,358.60,172.90,186.50
1995.00,1181.50,1211.80,1135.40,237.60,368.40,183.60,187.20
1996.00,1203.00,1244.10,1155.00,247.90,376.30,189.60,195.20
1997.00,1210.20,1347.30,1179.30,261.50,383.50,198.40,197.40
1998.00,1228.50,1415.60,1192.90,260.70,384.60,204.70,197.70
1999.00,1266.60,1427.40,1191.90,272.50,391.90,211.30,209.30
2000.00,1249.10,1507.90,1188.30,253.90,398.00,214.50,200.10
2001.00,1261.10,1542.90,1207.40,268.80,389.00,221.90,206.10
2002.00,1265.90,1566.70,1175.00,254.30,411.60,250.70,210.40
2003.00,1327.80,1664.80,1136.60,264.60,415.00,255.90,216.10
2004.00,1358.10,1706.40,1163.70,285.90,410.90,256.40,213.50
2005.00,1388.20,1730.70,1231.40,302.80,418.00,259.40,211.30
2006.00,1425.70,1807.80,1258.70,321.90,426.70,272.60,205.20
2007.00,1458.00,1823.90,1207.50,329.70,431.20,274.50,208.50
2008.00,1460.10,1913.90,1171.40,369.40,437.40,278.70,213.20
2009.00,1490.80,1755.20,1259.80,372.30,444.30,284.40,216.90
2010.00,1524.40,1682.60,1330.60,407.50,454.10,291.30,212.40
2011.00,1547.60,1726.30,1214.90,448.10,453.40,286.70,211.40
2012.00,1574.00,1600.10,1278.90,500.90,455.10,296.10,211.60
2013.00,1592.20,1564.80,1247.10,529.50,435.10,291.50,210.90
2014.00,1623.30,1650.40,1126.10,521.20,443.80,319.80,213.90
2015.00,1654.90,1697.70,1122.90,575.60,444.30,314.10,225.40
2016.00,1690.10,1662.60,1092.60,666.30,453.60,314.60,224.80
2017.00,1734.10,1601.70,1101.80,729.70,449.00,319.20,232.60
2018.00,1746.60,1566.40,1081.00,812.40,457.00,310.70,214.20
2019.00,1589.90,1523.20,1055.00,853.60,474.50,298.00,206.90
2020.00,1418.30,1455.00,1042.90,850.40,484.10,288.10,230.50
2021.00,1447.80,1405.90,1028.90,865.90,497.30,296.10,223.20
2022.00,1622.10,1378.30,996.30,883.10,484.20,308.10,210.20