lat,long,country,mag,month,day,year
16.5,-98.5,MEXICO,8.3,3,28,1787
19,-155.5,USA,7.9,4,3,1868
18.1,-65.1,USA TERRITORY,7.5,11,18,1867
40.5,143.5,JAPAN,8,8,23,1856
3.67,125.5,INDONESIA,,3,2,1856
42,146,JAPAN,8.4,4,25,1843
12.9,123.9,PHILIPPINES,6.5,3,22,1840
-42.5,-74,CHILE,8.5,11,7,1837
-36.83,-73.03,CHILE,8.2,2,20,1835
38.9,139.15,JAPAN,7.4,12,7,1833
-2.5,100.5,INDONESIA,8.3,11,24,1833
40.85,139.95,JAPAN,6.9,2,8,1793
16.9,-99.9,MEXICO,,3,28,1784
-5.25,129.75,INDONESIA,8.3,11,25,1852
58.63,-137.57,USA,,,,1853
-5.5,147,PAPUA NEW GUINEA,8,4,17,1857
43.5,140.6,JAPAN,6.9,6,13,1792
34.5,135.4,JAPAN,6.5,9,13,1791
25.34,121.91,TAIWAN,7,12,18,1867
36.4,22.2,GREECE,7.1,9,20,1867
14.5,121,PHILIPPINES,6.5,6,3,1863
38.5,144,JAPAN,8.3,2,17,1793
-8.2,118,INDONESIA,,4,10,1815
0.009,98,INDONESIA,7,3,9,1861
36.6,136.6,JAPAN,6.4,6,29,1799
0.001,99,INDONESIA,8,2,10,1797
55,-161,USA,8,8,6,1788
57,-153,USA,8,7,21,1788
35.1,139.7,JAPAN,7.3,8,22,1782
-1,135,INDONESIA,7.8,5,23,1864
34,137.9,JAPAN,8.3,12,23,1854
14,143.3,USA TERRITORY,7.5,1,25,1849
19.75,-72.2,HAITI,8.1,5,7,1842
37.9,141.9,JAPAN,7.6,7,20,1835
-7,119,INDONESIA,7.5,12,29,1820
39.05,139.95,JAPAN,7.3,7,10,1804
24,124.3,JAPAN,7.4,4,24,1771
32.75,130.3,JAPAN,6.4,5,21,1792
-8,115,INDONESIA,7,11,22,1815
33.1,135,JAPAN,8.4,12,24,1854
-1,97.5,INDONESIA,8.5,2,16,1861
-18.6,-71,CHILE,8.5,8,13,1868
24.5,120.5,TAIWAN,7,5,22,1782
12.5,123.5,PHILIPPINES,7,8,16,1869
10.5,-61.2,TRINIDAD AND TOBAGO,,11,3,1911
-33,-71.6,CHILE,,1,28,1878
38.789,15.213,ITALY,,5,22,1919
60,-139.58,USA,,7,4,1905
-18.3,-70.5,CHILE,,6,30,1878
-4,129,INDONESIA,,6,20,1891
-0.5,127.5,INDONESIA,,6,10,1891
6.1,1.2,TOGO,6.6,5,11,1911
49,-34.5,ATLANTIC OCEAN,,11,21,1894
39.5,20,GREECE,,6,27,1883
-20.2,-70.2,CHILE,,9,30,1878
-33,-71.6,CHILE,,11,23,1878
-9,124.85,INDONESIA,,2,13,1919
-33,-71.6,CHILE,,9,2,1877
-13.612,-172.525,SAMOA,,7,25,1907
-6.102,105.423,INDONESIA,,10,10,1883
-3.7,128.2,INDONESIA,,12,3,1914
3.138,125.491,INDONESIA,,7,18,1918
14.82,-61.17,MARTINIQUE (FRENCH TERRITORY),,8,30,1902
33.9,-117,USA,,8,7,1906
44.183,-68.917,USA,,11,17,1872
14.82,-61.17,MARTINIQUE (FRENCH TERRITORY),,5,8,1902
-0.25,104.5,INDONESIA,,1,,1917
-33,-71.5,CHILE,,8,8,1899
-6.102,105.423,INDONESIA,,2,,1884
40,-122,USA,,11,12,1884
35,-120,USA,,4,16,1877
-3.7,116.6,INDONESIA,,3,16,1917
-20.2,-70.1,CHILE,,2,3,1878
-13.612,-172.525,SAMOA,,11,28,1906
-33.8,151.3,AUSTRALIA,,8,12,1870
-13.612,-172.525,SAMOA,,6,27,1907
-13.612,-172.525,SAMOA,,10,6,1907
1.5,120.8,INDONESIA,,2,2,1904
-13.612,-172.525,SAMOA,,7,9,1907
-3.6,128.7,INDONESIA,,8,23,1917
-13.612,-172.525,SAMOA,,8,4,1905
-17.75,168.3,VANUATU,,8,27,1893
-33,-71.6,CHILE,,8,8,1879
3.67,125.5,INDONESIA,,6,7,1892
1.57,122.72,INDONESIA,,1,9,1917
20,-155,USA,,7,24,1869
-6.05,105.92,INDONESIA,,8,16,1889
-33.8,151.3,AUSTRALIA,,8,11,1869
19.23,-155.9,USA,,10,2,1919
-3.6,128.7,INDONESIA,,7,5,1904
-13.612,-172.525,SAMOA,,6,8,1907
-2.25,106,INDONESIA,,5,31,1883
-13.612,-172.525,SAMOA,,6,19,1907
32.2,29.6,EGYPT,,6,24,1870
1.1,124.3,INDONESIA,,8,3,1885
-41.3,174.8,NEW ZEALAND,,9,21,1897
60.5,-149,USA,6.9,9,22,1911
-21.38,-175.65,TONGA,,7,,1907
24.5,120.5,TAIWAN,6.2,12,9,1882
-15.25,166.83,VANUATU,,8,,1892
-6,147,PAPUA NEW GUINEA,7,,,1875
5.4,96,INDONESIA,,5,19,1891
5.4,96,INDONESIA,,5,19,1887
-2.55,140.75,INDONESIA,,11,21,1919
-13,-77,PERU,7,8,21,1871
34.227,-118.433,USA,,8,10,1879
59.5,-135.5,USA,5.5,9,24,1907
37.75,21,GREECE,,12,3,1898
-16.4,-71.5,PERU,6.5,1,10,1872
-4.25,152.25,PAPUA NEW GUINEA,6,2,25,1910
-7.111,143.53,PAPUA NEW GUINEA,6.9,1,19,1922
36,-120.5,USA,6.7,3,3,1901
48,-123.5,USA,,11,29,1891
20.7,-157,USA,7,2,20,1871
-6.8,120.8,INDONESIA,5.5,3,15,1897
-16,179,FIJI,,7,12,1881
1,-81,ECUADOR,,2,7,1906
36.7,137.3,JAPAN,,11,,1880
-19,168.5,VANUATU,8,2,11,1878
-35,-72.5,CHILE,7.5,3,25,1871
-18.5,-70.3,CHILE,,5,7,1906
-5.5,146,PAPUA NEW GUINEA,8,,,1873
0,99.5,INDONESIA,6.8,7,29,1885
8.567,81.233,SRI LANKA,,1,,1882
-16.5,-73,PERU,7.2,1,6,1922
0.87,122.92,INDONESIA,,1,29,1920
8,126,PHILIPPINES,7.4,1,1,1919
38.5,20.7,GREECE,6.7,8,7,1915
-17,-72,PERU,7.2,2,26,1914
4,127,INDONESIA,6.7,12,18,1910
39,143,JAPAN,6,6,15,1901
-36.83,-73.03,CHILE,6.5,7,23,1898
-3,127.75,INDONESIA,7,11,18,1892
-9,124,INDONESIA,7,10,5,1891
43.3,147.3,JAPAN,7,10,25,1881
5.6,95.3,INDONESIA,,1,31,1886
-19.6,-70.2,CHILE,,6,15,1877
-1,136,INDONESIA,6,11,6,1915
9,125.5,PHILIPPINES,6.2,12,30,1910
-20.2,-70.15,CHILE,,9,26,1903
32.7,132.3,JAPAN,6.9,11,25,1899
16,-95,MEXICO,7,6,20,1897
-20.2,-70.1,CHILE,,4,12,1878
18.1,-65.1,USA TERRITORY,,3,11,1874
18,119.5,PHILIPPINES,6.4,11,18,1915
1,126.25,INDONESIA,8,9,6,1889
-36.8,-73,CHILE,,2,14,1878
-33.1,-71.7,CHILE,,8,20,1871
-1,100.35,INDONESIA,,4,10,1922
-3.3,128.9,INDONESIA,,2,22,1922
-38,-73.5,CHILE,7,8,20,1920
18.5,-67.5,USA TERRITORY,,10,25,1918
23.2,121.6,TAIWAN,5.8,5,6,1917
24.47,118.08,CHINA,6.5,1,25,1917
-3.644,133.695,INDONESIA,,5,23,1915
-12,-76.6,PERU,,1,12,1914
-7,148,PAPUA NEW GUINEA,7,10,11,1913
-16.6,-73.3,PERU,7,7,28,1913
-41.8,171.5,NEW ZEALAND,6.8,2,22,1913
7,138,"MICRONESIA, FED. STATES OF",6.9,10,31,1912
40.5,142,JAPAN,6.6,6,8,1912
-20,-72,CHILE,7.3,9,15,1911
-4.25,152.25,PAPUA NEW GUINEA,,5,8,1911
34.5,141.5,JAPAN,6.7,3,12,1909
19,-155,USA,6.8,9,21,1908
61,-146.2,USA,6,2,14,1908
-2,100,INDONESIA,7.5,2,6,1908
-3.1,142.5,PAPUA NEW GUINEA,7.4,12,15,1907
3,122,INDONESIA,7.3,3,29,1907
11,123.5,PHILIPPINES,6.5,12,8,1905
-7.7,109,INDONESIA,,9,7,1904
-28.5,-71,CHILE,6.5,12,7,1903
16.7,-99.2,MEXICO,,7,16,1903
-3,127.5,INDONESIA,6.5,3,30,1903
-5,148,PAPUA NEW GUINEA,7.1,9,17,1900
-4,152,PAPUA NEW GUINEA,6.8,9,10,1900
-3.5,102.5,INDONESIA,6.8,10,10,1896
36.5,141,JAPAN,7.6,1,9,1896
33,130,JAPAN,,5,25,1895
-17.75,168.3,VANUATU,6,7,31,1893
42.5,145.5,JAPAN,6.9,6,13,1893
43.3,147.5,RUSSIA,7,6,4,1893
37,136.8,JAPAN,6.5,12,9,1892
2.5,99.5,INDONESIA,,5,17,1892
25.5,-103.5,MEXICO,,7,30,1891
-37.4,174.4,NEW ZEALAND,,6,22,1891
-7,113.5,INDONESIA,6,11,23,1889
5.8,95,INDONESIA,,3,21,1888
5.55,95.3,INDONESIA,,12,14,1885
-20.2,-70.1,CHILE,,11,12,1885
-2.5,127.5,INDONESIA,7.3,4,30,1885
-4.5,129.9,INDONESIA,7.5,10,10,1882
-19.6,-70.2,CHILE,,9,14,1882
-33.58,-71.63,CHILE,,2,23,1882
-19.6,-70.2,CHILE,,10,27,1881
17.97,-76.8,JAMAICA,,8,12,1881
-20.2,-70.1,CHILE,,7,14,1881
57,-136,USA,6.3,10,26,1880
55.8,-155.6,USA,6.3,9,29,1880
54,-167,USA,,8,29,1878
-23.7,-70.4,CHILE,,6,12,1878
-20.2,-70.1,CHILE,,3,12,1878
-4.25,152.25,PAPUA NEW GUINEA,,2,4,1878
-19,168.5,VANUATU,7.5,1,10,1878
-24,-71,CHILE,,10,9,1877
-20.2,-70.1,CHILE,,8,23,1877
-21.2,-70.1,CHILE,,5,15,1877
-12.07,-77.15,PERU,,5,14,1877
-3,127.25,INDONESIA,6.8,5,28,1876
-18.5,168,VANUATU,7,5,10,1875
20,-105,MEXICO,,2,23,1875
42,-124,USA,6.7,11,23,1873
-23.6,-70.4,CHILE,,11,19,1873
52.2,-168.5,USA,,8,23,1872
16,119,PHILIPPINES,6,1,26,1872
-41.5,-73,CHILE,,12,28,1871
0.5,123,INDONESIA,,8,25,1871
-13.65,-76.4,PERU,,2,5,1871
-30,-71.4,CHILE,,8,9,1869
9,123.25,PHILIPPINES,6,3,1,1922
10.2,124.1,PHILIPPINES,6.3,2,27,1922
8,127,PHILIPPINES,7.5,11,11,1921
-11,111,INDONESIA,7.5,9,11,1921
0.7,117.9,INDONESIA,6.2,5,14,1921
-19.919,168.53,VANUATU,7.8,9,20,1920
-6.5,150,PAPUA NEW GUINEA,7.7,2,2,1920
-4.806,153.859,PAPUA NEW GUINEA,8.2,5,6,1919
-18.352,-172.515,TONGA,8.1,4,30,1919
-19.6,-176.6,TONGA,8.3,1,1,1919
-26,-71,CHILE,7.8,12,4,1918
44.5,151.5,RUSSIA,7.8,11,8,1918
-28.5,-71.5,CHILE,7.9,5,20,1918
23.5,117.2,CHINA,7.5,2,13,1918
-29,-177.5,NEW ZEALAND,7.5,11,16,1917
-3.705,141.729,PAPUA NEW GUINEA,7.5,7,29,1917
-29.2,-177,NEW ZEALAND,8,5,1,1917
6,125,PHILIPPINES,6.4,1,31,1917
56.5,163,RUSSIA,7.8,1,30,1917
-7,116,INDONESIA,6.6,1,20,1917
9.6,-82,PANAMA,7,4,26,1916
-4.739,152.548,PAPUA NEW GUINEA,7.9,1,1,1916
38.3,142.9,JAPAN,7.8,11,1,1915
14,-89,EL SALVADOR,7.9,9,7,1915
38.8,20.6,GREECE,6.3,11,27,1914
-3.924,101.82,INDONESIA,7.6,6,25,1914
31.58,130.67,JAPAN,7.1,1,12,1914
-17,-74,PERU,7.9,8,6,1913
9,126,PHILIPPINES,7.8,7,12,1911
28,130,JAPAN,8,6,15,1911
12.5,145,USA TERRITORY,8,12,9,1909
35.4,136.3,JAPAN,6.9,8,14,1909
16.8,-99.8,MEXICO,7.4,7,30,1909
-26.5,-70.5,CHILE,7.6,6,8,1909
-2,101,INDONESIA,7.6,6,3,1909
34.5,141.5,JAPAN,7.5,3,13,1909
-14,-78,PERU,,12,12,1908
17,-100,MEXICO,8.1,4,14,1907
18,-76.8,JAMAICA,6.5,1,14,1907
-18,-71,PERU,7.9,12,26,1906
-4,149,PAPUA NEW GUINEA,7.2,10,2,1906
-7,149,PAPUA NEW GUINEA,8,9,14,1906
-33,-72,CHILE,8.2,8,17,1906
37.7,-122.5,USA,7.9,4,18,1906
33,76,INDIA,7.8,4,4,1905
-40.4,176.4,NEW ZEALAND,7.2,8,8,1904
52,159,RUSSIA,8.1,6,25,1904
52,159,RUSSIA,8.3,6,25,1904
7,-79,COLOMBIA,7.9,1,20,1904
7.5,123.5,PHILIPPINES,7.3,8,21,1902
40.75,23.25,GREECE,6.6,7,5,1902
51.45,-171.02,USA,7.1,12,31,1901
14,121.6,PHILIPPINES,7,9,10,1901
40.5,142.5,JAPAN,6.3,8,9,1901
40.6,142.3,JAPAN,7.4,8,9,1901
40.5,142.5,JAPAN,7.2,8,9,1901
28,130.3,JAPAN,7.5,6,24,1901
11,-66,VENEZUELA,8.4,10,29,1900
33.8,-118.5,USA,6.4,12,25,1899
31.9,132,JAPAN,7.1,11,24,1899
60,-140,USA,8.2,9,10,1899
60,-142,USA,8.2,9,4,1899
37.2,21.6,GREECE,6.6,1,22,1899
38.6,142,JAPAN,7.2,4,22,1898
38.2,-122.4,USA,6.2,3,31,1898
38,143.7,JAPAN,7.7,8,5,1897
38.1,141.9,JAPAN,7.4,2,19,1897
38.9,139.8,JAPAN,7,10,22,1894
40.6,28.7,TURKEY,6.7,7,10,1894
38.7,23.1,GREECE,7,4,27,1894
42.5,146,JAPAN,7.9,3,22,1894
40.2,19.7,ALBANIA,7.5,6,14,1893
37.7,20.9,GREECE,6.4,4,17,1893
40.5,25.5,GREECE,6.5,2,9,1893
14,143.3,USA TERRITORY,7.5,5,16,1892
13.5,121,PHILIPPINES,6.8,5,25,1889
38.3,22.8,GREECE,6.2,10,3,1887
19.7,-74.4,HAITI,,9,23,1887
31,-109,MEXICO,8,5,3,1887
10.7,122.6,PHILIPPINES,,2,2,1887
37.1,21.5,GREECE,7.5,8,27,1886
7.5,-79,PANAMA,7.5,11,5,1884
8.52,92.43,INDIA,7.9,12,31,1881
-31.62,-71.18,CHILE,7.7,8,15,1880
16,121.85,PHILIPPINES,7.5,7,18,1880
-19.92,-70.335,CHILE,7.9,1,23,1878
-19.6,-70.23,CHILE,7.5,8,24,1869
38.8,20.7,GREECE,6.9,12,28,1869
9.203,124.673,PHILIPPINES,,4,30,1871
34.9,132,JAPAN,7.4,3,14,1872
-12,-77,PERU,,1,27,1878
35.18,-120.731,USA,,11,22,1878
-14.18,-169.66,USA TERRITORY,,2,11,1915
59.4,-153.4,USA,,10,6,1883
38.7,-28.2,PORTUGAL,,2,3,1899
14.002,120.993,PHILIPPINES,,1,30,1911
-4,140,INDONESIA,6.9,10,7,1900
-20,168.5,NEW CALEDONIA,8,3,28,1875
45.5,151.5,RUSSIA,8.2,9,7,1918
5.5,123,PHILIPPINES,8.3,8,15,1918
-15.5,-173,SAMOA,8.3,6,26,1917
-1.829,136.943,INDONESIA,8.1,5,26,1914
-22,170,NEW CALEDONIA,7.9,8,9,1901
6,122,PHILIPPINES,8.7,9,21,1897
10,-79,PANAMA,7.9,9,7,1882
-34.917,-56.167,URUGUAY,,1,14,1884
-8.4,150.1,PAPUA NEW GUINEA,7.3,3,6,1895
37.4,142.6,JAPAN,7,7,6,1905
13.5,-89.5,EL SALVADOR,7,2,26,1902
2.28,125.425,INDONESIA,,3,3,1871
-3,152,PAPUA NEW GUINEA,,1,15,1899
40.5,19.5,ALBANIA,5.6,12,18,1920
18.7,-67.189,USA TERRITORY,7.1,10,11,1918
2,94.5,INDONESIA,7.6,1,4,1907
1,-81.5,ECUADOR,8.8,1,31,1906
-21.5,-70.5,CHILE,8.3,5,10,1877
39.5,144,JAPAN,8.3,6,15,1896
38.17,15.58,ITALY,7,12,28,1908
-3,128.5,INDONESIA,7.8,9,29,1899
-5.52,148.121,PAPUA NEW GUINEA,,3,13,1888
-6.102,105.423,INDONESIA,,8,27,1883
24.5,122,TAIWAN,7.6,9,1,1922
-23.7,-70.4,CHILE,,8,9,1929
32.1,139.85,JAPAN,,9,23,1952
-2.4,147.4,PAPUA NEW GUINEA,,6,27,1953
32.1,139.85,JAPAN,,9,16,1952
-6.102,105.423,INDONESIA,,3,26,1928
-35.33,-72.42,CHILE,,2,17,1923
19.5,-155.5,USA,,11,21,1935
48.967,-58,CANADA,,,,1928
-10.28,166.23,SOLOMON ISLANDS,,11,28,1966
-8.342,115.508,INDONESIA,,3,30,1963
-26.3,-80.1,CHILE,,3,4,1923
40.63,22.97,GREECE,,2,23,1959
49.12,154.508,RUSSIA,6,1,8,1933
-9.02,157.95,SOLOMON ISLANDS,,12,22,1951
-6.102,105.423,INDONESIA,,3,17,1930
32.1,139.85,JAPAN,,9,26,1952
67.47,-32.283,GREENLAND,,10,,1954
55.978,160.587,RUSSIA,,3,30,1956
38.4,-27.1,PORTUGAL,,8,31,1931
58.6,-137.1,USA,,10,27,1936
58,165,RUSSIA,5.8,9,22,1937
-23.7,-70.4,CHILE,,3,31,1928
32.1,139.85,JAPAN,,9,24,1952
48.092,153.2,RUSSIA,,11,13,1946
33.7,-118.2,USA,,8,21,1934
-9.43,159.95,SOLOMON ISLANDS,,3,18,1961
-63,-60.5,ANTARCTICA,,12,4,1967
-16.829,168.536,VANUATU,,10,7,1958
49.21,-2.131,UK,,7,30,1926
-43.95,-176.567,NEW ZEALAND,,7,19,1924
32.1,139.85,JAPAN,,3,11,1953
-10.061,159.215,SOLOMON ISLANDS,7.5,1,25,1926
-18.5,169.25,VANUATU,6.8,7,13,1952
17,121.5,PHILIPPINES,6.4,9,5,1949
-4.2,152.2,PAPUA NEW GUINEA,,12,12,1934
37,141.7,JAPAN,7.1,11,6,1938
-19,-70,CHILE,7.1,1,8,1956
38,23,GREECE,5.2,4,25,1928
50,156.5,RUSSIA,5.8,3,17,1953
37.973,-28.59,PORTUGAL,5.8,8,31,1926
36.7,28.5,TURKEY,6.5,5,23,1961
-3.417,142.077,PAPUA NEW GUINEA,7,8,7,1931
57.69,-136.07,USA,7.1,10,24,1927
64.15,-21.95,ICELAND,,8,28,1924
40.9,142.1,JAPAN,7.3,2,10,1945
-3,132.3,INDONESIA,6,2,13,1938
-18.5,-70.3,CHILE,,8,12,1923
-21.7,-69.5,CHILE,7.5,12,21,1967
6,95,INDONESIA,6.3,6,1,1948
40,143.2,JAPAN,7,5,27,1928
45.53,151.11,RUSSIA,7,3,19,1967
-15.9,166.8,VANUATU,7.3,8,13,1965
47.159,153.876,RUSSIA,6.8,7,24,1964
42.2,143.9,JAPAN,7,4,23,1962
40.3,142.5,JAPAN,6.7,7,29,1960
37.5,143.2,JAPAN,6.7,10,26,1959
-12,-77.5,PERU,5.5,2,15,1953
-53.5,-71.5,CHILE,7,1,30,1950
41.2,143.3,JAPAN,7.1,6,13,1943
36.7,141.4,JAPAN,7.1,5,23,1938
34.2,142,JAPAN,6.4,8,18,1927
9.3,122.7,PHILIPPINES,6.8,5,5,1925
-3,132.3,INDONESIA,6,11,6,1937
40.3,139,JAPAN,6.9,5,7,1964
-23.5,-71.5,CHILE,7,7,29,1957
-26,-71.5,CHILE,7.1,5,15,1925
43.586,146.701,RUSSIA,7.3,1,29,1968
-28.78,-71.19,CHILE,5.9,11,15,1967
-10.6,-79.8,PERU,7,9,3,1967
-42.9,-75.13,CHILE,6.5,10,3,1965
-15.8,167.2,VANUATU,7,8,11,1965
53.03,-167.55,USA,6.5,7,2,1965
44.7,148.7,RUSSIA,7.2,6,11,1965
-31.81,-71.26,CHILE,6,3,22,1965
-25.67,-70.63,CHILE,7,2,23,1965
40.4,138.9,JAPAN,6.3,12,10,1964
-6.4,105.4,INDONESIA,6.6,12,16,1963
44.426,149.272,RUSSIA,7.1,10,12,1963
41.8,142.4,JAPAN,5.7,5,21,1962
38.073,142.741,JAPAN,7.2,4,12,1962
8.008,-82.757,PANAMA,6.8,3,12,1962
-36.7,-73,CHILE,6.5,10,18,1961
42.9,145.6,JAPAN,7,8,11,1961
-9.849,160.614,SOLOMON ISLANDS,6.4,8,1,1961
-18.421,168.411,VANUATU,7.3,7,23,1961
29.6,131.8,JAPAN,6.6,7,18,1961
43.2,147.9,RUSSIA,6.6,2,12,1961
36.2,141.9,JAPAN,6.5,1,16,1961
36,141.9,JAPAN,6.4,1,16,1961
36,142.3,JAPAN,6.8,1,16,1961
-38.5,-75.1,CHILE,7.4,11,1,1960
-9.4,152.3,PAPUA NEW GUINEA,6.6,6,11,1960
39.4,143.7,JAPAN,6.7,3,23,1960
39.8,143.4,JAPAN,7.5,3,20,1960
44.3,149,RUSSIA,5,4,9,1959
-4,-81.5,PERU,7.4,2,7,1959
37.5,142.2,JAPAN,6.8,1,22,1959
44.2,148.8,RUSSIA,7,11,12,1958
-50,-115,PACIFIC OCEAN,6.1,11,4,1958
48.6,156.1,RUSSIA,5,9,17,1958
-8.57,160.72,SOLOMON ISLANDS,,11,,1957
-2,116,INDONESIA,6,10,26,1957
-8.2,107.3,INDONESIA,5.5,9,26,1957
-25.5,-71,CHILE,7,12,18,1956
44.3,144.1,JAPAN,6.3,3,5,1956
-5.1,152.924,PAPUA NEW GUINEA,7.3,10,10,1955
-6.9,155.7,PAPUA NEW GUINEA,6.5,9,8,1955
6.5,94,INDIA,7.3,5,17,1955
11.46,-69.57,VENEZUELA,5.5,1,18,1955
38.9,142.2,JAPAN,6.1,11,18,1954
19.8,-70.7,DOMINICAN REPUBLIC,7.2,5,31,1953
10.3,-85.3,COSTA RICA,6.9,5,13,1952
19.1,-155,USA,4.5,3,17,1952
-10,159.5,SOLOMON ISLANDS,7.3,11,8,1950
14.31,-91.917,GUATEMALA,7.5,10,23,1950
-37.8,177.2,NEW ZEALAND,5.8,3,14,1950
-5.5,154,PAPUA NEW GUINEA,7.5,10,19,1949
5,95,INDONESIA,6.7,5,9,1949
54.6,163.5,RUSSIA,5.9,1,27,1949
-22.5,-69,CHILE,7,12,26,1948
